丁基拉草,BUTACHLOR,,,,
二、四－地,"2,4-D",,,,
三氯比,TRICLOPYR,,,,
三福林,TRIFLURALIN,,,,
大克草,DCPA,,,,
大芬滅,DIPHENAMID,,,,
比達寧,BUTRALIN,,,,
必汰草,PYRIDATE,,,,
必芬諾,BIFENOX,,,,
本達隆,BENTAZON,,,,
甲氧基護谷,Chlomethoxyfen,,,,
伏寄普,FLUAZIFOP-P-BUTYL,,,,
西殺草,SETHOXYDIM,,,,
免速隆,BENSULFURON-METHYL,,,,
克草,BROMACIL,,,,
克普草,CLOMEPROP,,,,
快伏草,QUIZALOFOP-P-ETHYL,,,,
快克草,QUINCLORAC,,,,
汰草龍,DAIMURON,,,,
亞速爛,ASULAM,,,,
亞喜芬,ACIFLUORFEN,,,,
依滅草,IMAZAPYR,,,,
拉草,ALACHLOR,,,,
拔敵草,BUTYLATE,,,,
芬殺草,FENOXAPROP-ETHYL,,,,
施得圃,PENDIMETHALIN,,,,
氟丙酸,FRENOCK,,,,
氟氯比,FLUROXYPYR-MEPTYL,,,,
倍尼芬,BENFLURALIN,,,,
草殺淨,AMETRYN,,,,
草脫淨,ATRAZINE,,,,
草滅淨,SIMAZINE,,,,
除草靈,PROPANIL,,,,
得拉本,DALAPON,,,,
殺丹,THIOBENCARB,,,,
理有龍,LINURON,,,,
畢克草,CLOPYRALID,,,,
脫禾草,PHENOTHIOL,,,,
莫多草,METOLACHLOR,,,,
莫克草,ACN,,,,
復祿芬,OXYFLUORFEN,,,,
普拉草,PRETILACHLOR,,,,
普拔根,PROPAZINE,,,,
普芬草,PYRAZOXYFEN,,,,
菲殺淨,HEXAZINONE,,,,
鈉得爛,NAPTALAM,,,,
滅必淨,METRIBUZIN,,,,
滅落脫,NAPROPAMIDE,,,,
達有龍,DIURON,,,,
嘉磷塞,GLYPHOSATE,,,,
撲奪草,METOBROMURON,,,,
樂滅草,OXADIAZON,,,,
稻得壯,MOLINATE,,,,
撻乃安,DINITRAMINE,,,,
環殺草,CYCLOXYDIM,,,,
百速隆,PYRAZOSULFURON-ETHYL,,,,
汰硫草,DITHIOPYR,,,,
滅草胺,METAZACHLOR,,,,
普拔草,PROPAQUIZAFOP,,,,
依速隆,IMAZOSULFURON,,,,
剋草同,CLETHODIM,,,,
滅芬草,MEFENACET,,,,
西速隆,CINOSULFURON,,,,
伏速隆,FLAZASULFURON,,,,
草芬定,AZAFENIDIN,,,,
丁基賽伏草,CYHALOFOP-BUTYL,,,,
左旋莫多草,S-METOLACHLOR,,,,
可滅蹤,CLOMAZONE,,,,
亞速隆,ETHOXYSULFURON,,,,
汰草滅,DIMETHENAMID,,,,
得殺草,TEPRALOXYDIM,,,,
環磺隆,CYCLOSULFAMURON,,,,
欣克草,THENYLCHLOR,,,,
平速爛,PENOXSULAM,,,,
乙基派芬草,PYRAFLUFEN-ETHYL,,,,
合速隆,HALOSULFURON-METHYL,,,,
殺芬草,SAFLUFENACIL,,,,
美速隆,METAZOSULFURON,,,,
比拉芬,FLORPYRAUXIFEN-BENZYL,,,,
派伏利,PYRIFTALID,,,,
普速隆,PROPYRISULFURON,,,,
艾繁草,IPFENCARBAZONE,,,,
左固殺草,glufosinate-P,,,,
丁基加保扶,CARBOSULFAN,,,,
丁基滅必蝨,FENOBUCARB,,,,
乃力松,NALED,,,,
二硫松,DISULFOTON,,,,
二氯松,DDVP,,,,
二福隆,DIFLUBENZURON,,,,
三氯松,TRICHLORFON,,,,
三落松,TRIAZOPHOS,,,,
大利松,DIAZINON,,,,
大滅松,DIMETHOATE,,,,
巴賽松,PHOXIM,,,,
比加普,PIRIMICARB,,,,
加保利,CARBARYL,,,,
加保扶,CARBOFURAN,,,,
加福松,ISOXATHION,,,,
加護松,PROPAPHOS,,,,
布芬淨,BUPROFEZIN,,,,
必克蝨,BUFENCARB,,,,
必芬松,PYRIDAPHENTHION,,,,
甲基巴拉松,METHYL-PARATHION,,,,
好達勝,PHOSPHINE,,,,
安丹,PROPOXUR,,,,
安美加,AMINOCARB,,,,
托福松,TERBUFOS,,,,
百滅寧,PERMETHRIN,,,,
佈飛松,PROFENOFOS,,,,
佈嘉信,BUTOCARBOXIM,,,,
免扶克,BENFURACARB,,,,
免敵克,BENDIOCARB,,,,
克福隆,CHLORFLUAZURON,,,,
谷速松,AZINPHOS-METHYL,,,,
亞烈寧,ALLETHRIN,,,,
亞特松,PIRMIPHOS-METHYL,,,,
亞素靈,MONOCROTOPHOS,,,,
亞培松,TEMEPHOS,,,,
依芬寧,ETOFENPROX,,,,
治滅寧,TETRAMETHRIN,,,,
治滅蝨,METOLCARB,,,,
芬化利,FENVALERATE,,,,
芬殺松,FENTHION,,,,
芬普寧,FENPROPATHRIN,,,,
拜裕松,QUINALPHOS,,,,
美文松,MEVINPHOS,,,,
飛達松,HEPTENOPHOS,,,,
益化利,ESFENVALERATE,,,,
益滅松,PHOSMET,,,,
納乃得,METHOMYL,,,,
馬拉松,MALATHION,,,,
培丹,CARTAP,,,,
得福隆,TEFLUBENZURON,,,,
畢芬寧,BIFENTHRIN,,,,
硫伐隆,THIOFANOX,,,,
硫滅松,THIOMETON,,,,
硫敵克,THIODICARB,,,,
第滅寧,DELTAMETHRIN,,,,
氰乃松,CYANOPHOS,,,,
滅大松,METHIDATHION,,,,
滅加松,MECARBAM,,,,
滅必蝨,ISOPROCARB,,,,
滅多松,OXYDEMETON METHYL,,,,
滅克蝨,XMC,,,,
滅爾蝨,XYLYLCARB,,,,
滅賜克,METHIOCARB,,,,
滅賜松,DEMETON-S-METHYL,,,,
裕必松,PHOSALONE,,,,
達馬松,METHAMIDOPHOS,,,,
福化利,TAU-FLUVALINATE,,,,
福瑞松,PHORATE,,,,
福賜米松,PHOSPHAMIDON,,,,
撲滅松,FENITROTHION,,,,
歐滅松,OMETHOATE,,,,
毆殺松,ACEPHATE,,,,
毆殺滅,OXAMYL,,,,
繁米松,VAMIDOTHION,,,,
賽扶寧,CYFLUTHRIN,,,,
賽洛寧,LAMBDA-CYHALOTHRIN,,,,
賽滅寧,CYPERMETHRIN,,,,
賽達松,PHENTHOATE,,,,
雙特松,DICROTOPHOS,,,,
護賽寧,FLUCYTHRINATE,,,,
亞芬松,ISOFENPHOS,,,,
免速達,BENSULTAP,,,,
白克松,PYRACLOFOS,,,,
賽滅淨,CYROMAZINE,,,,
泰滅寧,TRALOMETHRIN,,,,
汰芬隆,DIAFENTHIURON,,,,
依殺松,ISAZOFOS,,,,
益達胺,IMIDACLOPRID,,,,
氟芬隆,FLUFENOXURON,,,,
六伏隆,HEXAFLUMURON,,,,
芬諾克,FENOXYCARB,,,,
芬普尼,FIPRONIL,,,,
得芬諾,TEBUFENOZIDE,,,,
派滅淨,PYMETROZINE,,,,
克凡派,CHLORFENAPYR,,,,
祿芬隆,LUFENURON,,,,
百利普芬,PYRIPROXYFEN,,,,
亞滅培,ACETAMIPRID,,,,
合芬寧,HALFENPROX,,,,
賽速安,THIAMETHOXAM,,,,
因得克,INDOXACARB,,,,
可尼丁,CLOTHIANIDIN,,,,
達特南,DINOTEFURAN,,,,
伽瑪賽洛寧,GAMMA-CYHALOTHRIN,,,,
諾伐隆,NOVALURON,,,,
滅芬諾,METHOXYFENOZIDE,,,,
氟尼胺,FLONICAMID,,,,
賽果培,THIACLOPRID,,,,
美賜平,S-METHOPRENE,,,,
得芬瑞,TEBUFENPYRAD,,,,
脫芬瑞,TOLFENPYRAD,,,,
可芬諾,CHROMAFENOZIDE,,,,
美氟綜,METAFLUMIZONE,,,,
剋安勃,CHLORANTRANILIPROLE,,,,
賜諾特,SPINETORAM,,,,
氟大滅,FLUBENDIAMIDE,,,,
益斯普,ETHIPROLE,,,,
賜派滅,SPIROTETRAMAT,,,,
苦參鹼,MATRINE,,,,
速殺氟,SULFOXAFLOR,,,,
賽安勃,CYANTRANILIPROLE,,,,
百里酚,THYMOL,,,,
特安勃,TETRANILIPROLE,,,,
氟美派,TRIFLUMEZOPYRIM,,,,
阿扶平,AFIDOPYROPEN,,,,
賜派地,SPIROPIDION,,,,
亞克瑞,ISOCYCLOSERAM,,,,
聚乙醛,METALDEHYDE,,,,
耐克螺,NICLOSAMIDE,,,,
芬滅松,FENAMIPHOS,,,,
普伏松,ETHOPROPHOS,,,,
福賽絕,FOSTHIAZATE,,,,
氟速芬,FLUENSULFONE,,,,
氟印淨,FLUAZAINDOLIZINE,,,,
甘磷塞,GLYPHOSINE,,,,
抑芽素,"MALEIC HYDRAZIDE,MH",,,,
穫萎得,DIMETHIPIN,,,,
巴克素,PACLOBUTRAZOL,,,,
福芬素,FORCHLORFENURON,,,,
依納素,INABENFIDE,,,,
可伐鼠,CHLOROPHACINONE,,,,
可滅鼠,BRODIFACOUM,,,,
伏滅鼠,FLOCOUMAFEN,,,,
得伐鼠,DIPHACINONE,,,,
殺鼠靈,WARFARIN,,,,
撲滅鼠,BROMADIOLONE,,,,
